6,166,1,166,,,,,,,,,,
Pysshium ulssimum pop,,,all,,,,,,,,,,
sample,pop,Py28,,Py62,,Py69,,Py30,,Py55,,Py57,
16.3 C,all,499,503,170,170,290,284,418,424,0,0,195,201
19.5B,all,0,0,167,167,0,0,0,0,0,0,0,0
19.50B,all,497,497,167,167,290,290,418,418,163,163,0,0
23.5A,all,499,499,167,167,290,290,418,418,161,161,201,201
23.5B,all,0,0,167,167,290,290,418,418,161,161,201,201
23.5C,all,497,501,167,167,290,290,418,418,161,161,201,201
23.9B,all,497,497,167,167,290,290,418,418,161,161,201,201
23.9C,all,497,497,167,167,290,290,418,418,161,161,201,201
23.15B,all,497,501,167,167,290,290,418,418,161,161,201,201
23.16 C,all,497,497,167,167,290,290,418,418,161,161,201,201
23.17A,all,497,497,167,167,290,290,418,418,161,161,201,201
23.17C,all,497,497,167,167,290,290,418,418,161,161,201,201
23.18 B,all,497,497,167,167,290,290,418,418,161,161,201,201
23.19A,all,497,497,167,167,290,290,418,418,161,161,201,201
23.19C,all,497,497,167,167,290,290,418,418,161,161,201,201
24.3 A,all,497,497,167,173,284,284,424,424,161,173,195,195
24.3B,all,497,497,167,173,284,284,424,424,161,173,195,195
24.3C,all,497,501,167,173,284,284,424,424,161,173,195,195
24.13B,all,497,501,167,173,284,284,424,424,161,173,195,195
24.13C,all,497,497,167,173,284,284,424,424,161,173,195,195
24.16C,all,497,501,167,173,284,284,424,424,161,173,195,195
28.13B,all,497,501,167,167,290,290,418,418,161,161,201,201
28.13C,all,497,497,167,167,290,290,418,418,161,161,201,201
29.1A,all,501,501,167,170,284,284,418,424,161,167,195,195
29.1B,all,501,501,167,170,284,284,418,424,161,167,195,195
29.1 C,all,501,501,167,170,284,284,418,424,161,167,195,195
29.4A,all,497,497,167,167,290,290,418,418,161,161,201,201
29.4B,all,497,497,167,167,290,290,418,418,161,161,201,201
29.4C,all,497,497,167,167,290,290,418,418,161,161,201,201
29.9A,all,497,497,167,167,290,290,418,418,161,161,201,201
29.9B,all,497,497,167,167,290,290,418,418,161,161,201,201
29.9C,all,497,497,167,167,290,290,418,418,161,161,201,201
29.10A,all,501,501,167,170,290,284,418,424,161,167,0,0
29.10C,all,501,501,167,170,290,284,418,424,161,167,195,195
30.1 C,all,497,497,167,167,290,284,418,430,163,171,195,195
30.9A,all,497,497,167,167,290,284,418,430,163,171,195,195
