6,166,6,79,4,2,16,18,47,,,,,
Pythium ultimum pop,,,k_f,g_f,d_ss,k_ss,d_f,k_ff,,,,,
sample,pop,Py28,,Py62,,Py69,,Py30,,Py55,,Py57,
2.35 B,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,171,195,195
2.35 C,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,0,195,195
2.39 B,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,171,195,195
2.44 A,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,171,195,195
2.44 B,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,171,195,195
2.44 C,kalamazoo_fall-11,499,499,167,167,290,284,418,430,163,171,195,195
2.45 A,kalamazoo_fall-11,497,509,167,167,290,284,0,0,0,0,0,0
2.45 B,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,171,195,195
2.45 C,kalamazoo_fall-11,497,509,167,167,290,284,418,430,0,0,195,195
2.48 B,kalamazoo_fall-11,503,503,167,170,290,284,418,424,161,167,195,195
2.49 A,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,171,195,195
2.49 B,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,171,195,195
2.52 C,kalamazoo_fall-11,499,511,167,167,290,284,418,430,163,171,195,201
2.54 B,kalamazoo_fall-11,497,509,167,167,290,284,418,430,163,171,195,195
2.54 C,kalamazoo_fall-11,499,511,167,167,290,284,418,430,0,0,195,201
4.2 A,kent_fall-11,499,499,167,167,290,290,418,418,163,163,201,201
4.2 C,kent_fall-11,499,499,167,167,290,290,418,418,163,163,201,201
4.21 B,kent_fall-11,499,499,167,167,0,0,418,418,163,163,201,201
4.21 C,kent_fall-11,499,499,167,167,290,290,418,418,163,163,201,201
12.3B,wayne_spring-13,499,511,167,167,290,284,418,430,163,171,195,201
12.3C,wayne_spring-13,0,0,167,167,290,284,418,430,163,171,195,201
15.1A,kalamazoo_spring-13,497,497,167,167,290,290,418,418,0,0,201,201
16.3 B,kalamazoo_spring-13,499,499,167,170,290,284,418,424,161,161,195,201
16.3 C,kalamazoo_spring-13,499,503,170,170,290,284,418,424,0,0,195,201
19.5B,kalamazoo_spring-13,0,0,167,167,0,0,0,0,0,0,0,0
19.50B,kalamazoo_spring-13,497,497,167,167,290,290,418,418,163,163,0,0
23.5A,wayne_fall-12,499,499,167,167,290,290,418,418,161,161,201,201
23.5B,wayne_fall-12,0,0,167,167,290,290,418,418,161,161,201,201
23.5C,wayne_fall-12,497,501,167,167,290,290,418,418,161,161,201,201
23.9B,wayne_fall-12,497,497,167,167,290,290,418,418,161,161,201,201
23.9C,wayne_fall-12,497,497,167,167,290,290,418,418,161,161,201,201
23.15B,wayne_fall-12,497,501,167,167,290,290,418,418,161,161,201,201
23.16 C,wayne_fall-12,497,497,167,167,290,290,418,418,161,161,201,201
23.17A,wayne_fall-12,497,497,167,167,290,290,418,418,161,161,201,201
23.17C,wayne_fall-12,497,497,167,167,290,290,418,418,161,161,201,201
23.18 B,wayne_fall-12,497,497,167,167,290,290,418,418,161,161,201,201
23.19A,wayne_fall-12,497,497,167,167,290,290,418,418,161,161,201,201
23.19C,wayne_fall-12,497,497,167,167,290,290,418,418,161,161,201,201
24.3 A,wayne_fall-12,497,497,167,173,284,284,424,424,161,173,195,195
24.3B,wayne_fall-12,497,497,167,173,284,284,424,424,161,173,195,195
24.3C,wayne_fall-12,497,501,167,173,284,284,424,424,161,173,195,195
24.13B,wayne_fall-12,497,501,167,173,284,284,424,424,161,173,195,195
24.13C,wayne_fall-12,497,497,167,173,284,284,424,424,161,173,195,195
24.16C,wayne_fall-12,497,501,167,173,284,284,424,424,161,173,195,195
28.13B,kalamazoo_fall-12,497,501,167,167,290,290,418,418,161,161,201,201
